municipality_code,municipality,year,population
1463,Mark,2021,35201
1465,Svenljunga,2021,10864
1466,Herrljunga,2021,9501
1470,Vara,2021,16162
1471,Götene,2021,13263
1472,Tibro,2021,11281
1473,Töreboda,2021,9207
1480,Göteborg,2021,587549
1481,Mölndal,2021,69943
1482,Kungälv,2021,48271
1484,Lysekil,2021,14266
1485,Uddevalla,2021,57122
1486,Strömstad,2021,13277
1487,Vänersborg,2021,39636
1488,Trollhättan,2021,59154
1489,Alingsås,2021,41853
1490,Borås,2021,114091
1491,Ulricehamn,2021,24898
1492,Åmål,2021,12318
1493,Mariestad,2021,24723
1494,Lidköping,2021,40460
1495,Skara,2021,18732
1496,Skövde,2021,57016
1497,Hjo,2021,9233
1498,Tidaholm,2021,12825
1499,Falköping,2021,33270
1715,Kil,2021,12134
1730,Eda,2021,8490
1737,Torsby,2021,11472
1760,Storfors,2021,3948
1761,Hammarö,2021,16765
1762,Munkfors,2021,3680
1763,Forshaga,2021,11606
1764,Grums,2021,9091
1765,Årjäng,2021,9942
1766,Sunne,2021,13355
1780,Karlstad,2021,95408
1781,Kristinehamn,2021,24099
1782,Filipstad,2021,10403
1783,Hagfors,2021,11553
1784,Arvika,2021,25854
1785,Säffle,2021,15396
1814,Lekeberg,2021,8603
1860,Laxå,2021,5582
1861,Hallsberg,2021,16196
1862,Degerfors,2021,9534
1863,Hällefors,2021,6849
1864,Ljusnarsberg,2021,4604
1880,Örebro,2021,156987
1881,Kumla,2021,22144
1882,Askersund,2021,11534
1883,Karlskoga,2021,30437
1884,Nora,2021,10721
1885,Lindesberg,2021,23601
1904,Skinnskatteberg,2021,4371
1907,Surahammar,2021,10099
1960,Kungsör,2021,8787
1961,Hallstahammar,2021,16608
1962,Norberg,2021,5714
1980,Västerås,2021,156838
1981,Sala,2021,22998
1982,Fagersta,2021,13319
1983,Köping,2021,26133
1984,Arboga,2021,14100
2021,Vansbro,2021,6776
2023,Malung-Sälen,2021,10218
2026,Gagnef,2021,10502
2029,Leksand,2021,16012
2031,Rättvik,2021,11103
2034,Orsa,2021,6918
2039,Älvdalen,2021,7042
2061,Smedjebacken,2021,10933
2062,Mora,2021,20670
2080,Falun,2021,59837
2081,Borlänge,2021,52254
2082,Säter,2021,11242
2083,Hedemora,2021,15458
2084,Avesta,2021,22925
2085,Ludvika,2021,26497
2101,Ockelbo,2021,5865
2104,Hofors,2021,9578
2121,Ovanåker,2021,11711
2132,Nordanstig,2021,9480
2161,Ljusdal,2021,18804
2180,Gävle,2021,103136
2181,Sandviken,2021,39250
2182,Söderhamn,2021,25446
2183,Bollnäs,2021,26753
2184,Hudiksvall,2021,37744
2260,Ånge,2021,9233
2262,Timrå,2021,17923
2280,Härnösand,2021,25012
2281,Sundsvall,2021,99383
2282,Kramfors,2021,18005
2283,Sollefteå,2021,18814
2284,Örnsköldsvik,2021,55823
2303,Ragunda,2021,5210
2305,Bräcke,2021,6175
2309,Krokom,2021,15352
2313,Strömsund,2021,11473
2321,Åre,2021,12271
2326,Berg,2021,7135
2361,Härjedalen,2021,10114
2380,Östersund,2021,64324
2401,Nordmaling,2021,7100
2403,Bjurholm,2021,2395
2404,Vindeln,2021,5550
2409,Robertsfors,2021,6786
2417,Norsjö,2021,3971
2418,Malå,2021,3034
2421,Storuman,2021,5808
2422,Sorsele,2021,2460
2425,Dorotea,2021,2459
2460,Vännäs,2021,9054
2462,Vilhelmina,2021,6485
2463,Åsele,2021,2807
2480,Umeå,2021,130997
2481,Lycksele,2021,12264
2482,Skellefteå,2021,73393
2505,Arvidsjaur,2021,6143
2506,Arjeplog,2021,2707
2510,Jokkmokk,2021,4780
2513,Överkalix,2021,3252
2514,Kalix,2021,15768
2518,Övertorneå,2021,4211
2521,Pajala,2021,5973
2523,Gällivare,2021,17449
2560,Älvsbyn,2021,8009
2580,Luleå,2021,78867
2581,Piteå,2021,42323
2582,Boden,2021,28160
2583,Haparanda,2021,9496
2584,Kiruna,2021,22555
0114,Upplands Väsby,2022,49262
0115,Vallentuna,2022,34851
0117,Österåker,2022,49138
0120,Värmdö,2022,46457
0123,Järfälla,2022,85460
0125,Ekerö,2022,29123
0126,Huddinge,2022,114504
0127,Botkyrka,2022,95383
0128,Salem,2022,17352
0136,Haninge,2022,97683
0138,Tyresö,2022,49214
0139,Upplands-Bro,2022,31853
0140,Nykvarn,2022,11664
0160,Täby,2022,75137
0162,Danderyd,2022,32692
0163,Sollentuna,2022,76237
0180,Stockholm,2022,984748
0181,Södertälje,2022,102426
0182,Nacka,2022,109486
0183,Sundbyberg,2022,54070
0184,Solna,2022,85450
0186,Lidingö,2022,48432
0187,Vaxholm,2022,11899
0188,Norrtälje,2022,65587
0191,Sigtuna,2022,51876
0192,Nynäshamn,2022,30043
0305,Håbo,2022,22765
0319,Älvkarleby,2022,9625
0330,Knivsta,2022,20133
0331,Heby,2022,14421
0360,Tierp,2022,21406
0380,Uppsala,2022,242140
0381,Enköping,2022,47848
0382,Östhammar,2022,22344
0428,Vingåker,2022,8981
0461,Gnesta,2022,11612
0480,Nyköping,2022,58021
0481,Oxelösund,2022,12086
0482,Flen,2022,16058
0483,Katrineholm,2022,34604
0484,Eskilstuna,2022,107918
0486,Strängnäs,2022,38526
0488,Trosa,2022,14760
0509,Ödeshög,2022,5317
0512,Ydre,2022,3683
0513,Kinda,2022,10068
0560,Boxholm,2022,5498
0561,Åtvidaberg,2022,11506
0562,Finspång,2022,21903
0563,Valdemarsvik,2022,7630
0580,Linköping,2022,166673
0581,Norrköping,2022,145120
0582,Söderköping,2022,14834
0583,Motala,2022,43728
0584,Vadstena,2022,7481
0586,Mjölby,2022,28471
0604,Aneby,2022,6824
0617,Gnosjö,2022,9438
0642,Mullsjö,2022,7532
0643,Habo,2022,13128
0662,Gislaved,2022,29481
0665,Vaggeryd,2022,14854
0680,Jönköping,2022,145114
0682,Nässjö,2022,31944
0683,Värnamo,2022,34692
0684,Sävsjö,2022,11771
0685,Vetlanda,2022,27673
0686,Eksjö,2022,17858
0687,Tranås,2022,18804
0760,Uppvidinge,2022,9418
0761,Lessebo,2022,8485
0763,Tingsryd,2022,12297
0764,Alvesta,2022,20257
0765,Älmhult,2022,18092
0767,Markaryd,2022,10166
0780,Växjö,2022,97137
0781,Ljungby,2022,28483
0821,Högsby,2022,5584
0834,Torsås,2022,7042
0840,Mörbylånga,2022,15985
0860,Hultsfred,2022,14064
0861,Mönsterås,2022,13276
0862,Emmaboda,2022,9347
0880,Kalmar,2022,72018
0881,Nybro,2022,20303
0882,Oskarshamn,2022,27028
0883,Västervik,2022,36650
