source_year,source_file,source_sheet,case_number,education_name,education_area,decision,municipality,county,education_credits,study_mode,study_pace_percentage,education_provider,principal_type,sun5_code,sun5_name,seqf_level,narrow_occupational_area,total_sought_places,total_granted_places,is_approved,is_distance,program_length_years,municipality_code,county_code
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4144,Elektronikingenjör,Teknik Och Tillverkning,Beviljad,Eskilstuna,Södermanland,435,Bunden,100,Plushögskolan Ab - Teknikhögskolan,Privat,523ef,Utbildningar till elektroniktekniker,5.0,False,100,80,True,False,2.2,0484,04
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4345,Elektronikmontör,Teknik Och Tillverkning,Avslag,Göteborg,Västra Götaland,600,Bunden,100,Movant Ab,Privat,523ef,Utbildningar till elektroniktekniker,6.0,False,150,0,False,False,3.0,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4084,Elektroniktekniker,Teknik Och Tillverkning,Beviljad,Jönköping,Jönköping,400,Bunden,100,Tekniska Högskolan I Jönköping Ab,Privat,523ef,Utbildningar till elektroniktekniker,5.0,False,45,45,True,False,2.0,0680,06
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4269,Mekatronikingenjör - industriell konstruktion,Teknik Och Tillverkning,Beviljad,Linköping,Östergötland,510,Bunden,100,Autoelec Ab,Privat,523eg,Utbildningar till mekatroniker,5.0,False,100,60,True,False,2.6,0580,05
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4372,Automations- & Underhållstekniker,Teknik Och Tillverkning,Beviljad,Eskilstuna,Södermanland,430,Bunden,100,Avt Ab,Privat,523fa,Utbildningar till automationstekniker,5.0,False,100,100,True,False,2.2,0484,04
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/2985,Automations- och Robotingenjör med Industri 4.0,Teknik Och Tillverkning,Beviljad,Göteborg,Västra Götaland,425,Bunden,100,Hermods Ab Göteborg,Privat,523fa,Utbildningar till automationstekniker,5.0,False,140,105,True,False,2.1,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/2986,Automations- och Robotingenjör med Industri 4.0,Teknik Och Tillverkning,Beviljad,Örebro,Örebro,425,Bunden,100,Hermods Ab Örebro,Privat,523fa,Utbildningar till automationstekniker,5.0,False,140,105,True,False,2.1,1880,18
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/2987,Automations- och Robotingenjör med Industri 4.0,Teknik Och Tillverkning,Beviljad,Lund,Skåne,425,Bunden,100,Hermods Ab Lund,Privat,523fa,Utbildningar till automationstekniker,5.0,False,140,105,True,False,2.1,1281,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3951,Automationsingenjör,Teknik Och Tillverkning,Beviljad,Hässleholm,Skåne,400,Bunden,100,"Hässleholms Kommun, Yrkeshögskolan Syd",Kommun,523fa,Utbildningar till automationstekniker,5.0,False,120,72,True,False,2.0,1293,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4361,Automationsingenjör,Teknik Och Tillverkning,Beviljad,Linköping,Östergötland,430,Bunden,100,Plushögskolan Ab - Teknikhögskolan Öst,Privat,523fa,Utbildningar till automationstekniker,5.0,False,150,90,True,False,2.2,0580,05
