municipality_code,municipality,county_code,county
2161,Ljusdal,21,Gävleborg
2180,Gävle,21,Gävleborg
2181,Sandviken,21,Gävleborg
2182,Söderhamn,21,Gävleborg
2183,Bollnäs,21,Gävleborg
2184,Hudiksvall,21,Gävleborg
2260,Ånge,22,Västernorrland
2262,Timrå,22,Västernorrland
2280,Härnösand,22,Västernorrland
2281,Sundsvall,22,Västernorrland
2282,Kramfors,22,Västernorrland
2283,Sollefteå,22,Västernorrland
2284,Örnsköldsvik,22,Västernorrland
2303,Ragunda,23,Jämtland
2305,Bräcke,23,Jämtland
2309,Krokom,23,Jämtland
2313,Strömsund,23,Jämtland
2321,Åre,23,Jämtland
2326,Berg,23,Jämtland
2361,Härjedalen,23,Jämtland
2380,Östersund,23,Jämtland
2401,Nordmaling,24,Västerbotten
2403,Bjurholm,24,Västerbotten
2404,Vindeln,24,Västerbotten
2409,Robertsfors,24,Västerbotten
2417,Norsjö,24,Västerbotten
2418,Malå,24,Västerbotten
2421,Storuman,24,Västerbotten
2422,Sorsele,24,Västerbotten
2425,Dorotea,24,Västerbotten
2460,Vännäs,24,Västerbotten
2462,Vilhelmina,24,Västerbotten
2463,Åsele,24,Västerbotten
2480,Umeå,24,Västerbotten
2481,Lycksele,24,Västerbotten
2482,Skellefteå,24,Västerbotten
2505,Arvidsjaur,25,Norrbotten
2506,Arjeplog,25,Norrbotten
2510,Jokkmokk,25,Norrbotten
2513,Överkalix,25,Norrbotten
2514,Kalix,25,Norrbotten
2518,Övertorneå,25,Norrbotten
2521,Pajala,25,Norrbotten
2523,Gällivare,25,Norrbotten
2560,Älvsbyn,25,Norrbotten
2580,Luleå,25,Norrbotten
2581,Piteå,25,Norrbotten
2582,Boden,25,Norrbotten
2583,Haparanda,25,Norrbotten
2584,Kiruna,25,Norrbotten
